Date,Open,High,Low,Close
2023-10-02,0.26589,0.26904,0.25826,0.25951
2023-10-03,0.25949,0.26422,0.25809,0.26103
2023-10-04,0.26103,0.26105,0.25457,0.25932
2023-10-05,0.25929,0.26372,0.25704,0.26015
2023-10-06,0.26015,0.26656,0.26015,0.26487
2023-10-07,0.26487,0.26552,0.25721,0.25874
2023-10-08,0.25875,0.25913,0.25595,0.25663
2023-10-09,0.25661,0.25853,0.24942,0.25164
2023-10-10,0.25163,0.2531,0.2475,0.24914
2023-10-11,0.24913,0.24948,0.24541,0.248
2023-10-12,0.248,0.24807,0.24318,0.24592
2023-10-13,0.24591,0.24916,0.24519,0.24615
2023-10-14,0.24615,0.24766,0.24525,0.24701
2023-10-15,0.247,0.24825,0.24579,0.24736
2023-10-16,0.24735,0.2578,0.24735,0.25156
2023-10-17,0.25156,0.25168,0.24661,0.24712
2023-10-18,0.2471,0.24793,0.24306,0.24345
2023-10-19,0.24345,0.24692,0.24066,0.24692
2023-10-20,0.24694,0.25272,0.24598,0.25114
2023-10-21,0.25112,0.26192,0.24998,0.25859
2023-10-22,0.25859,0.26404,0.25683,0.26357
2023-10-23,0.26503,0.27995,0.26249,0.27995
2023-10-24,0.27999,0.29319,0.27495,0.27899
2023-10-25,0.27903,0.28946,0.27713,0.28056
2023-10-26,0.28059,0.297,0.28059,0.28729
2023-10-27,0.28725,0.29216,0.28139,0.28947
2023-10-28,0.2895,0.29728,0.28921,0.29125
2023-10-29,0.29127,0.2986,0.28951,0.29528
2023-10-30,0.29531,0.30296,0.29276,0.30273
2023-10-31,0.30277,0.30461,0.28783,0.29311
2023-11-01,0.29313,0.30858,0.28532,0.30746
2023-11-02,0.30745,0.32913,0.30159,0.32314
2023-11-03,0.32315,0.3292,0.31263,0.32902
2023-11-04,0.32903,0.33027,0.32192,0.32854
2023-11-05,0.32855,0.34979,0.32718,0.34287
2023-11-06,0.34286,0.37525,0.33994,0.36341
2023-11-07,0.36329,0.36547,0.33513,0.35157
2023-11-08,0.35158,0.35976,0.34992,0.35835
2023-11-09,0.35832,0.38584,0.35274,0.36834
2023-11-10,0.36839,0.38755,0.36482,0.38621
2023-11-11,0.38623,0.39439,0.37163,0.38456
2023-11-12,0.38454,0.39082,0.37352,0.38338
2023-11-13,0.38341,0.38834,0.35591,0.35842
2023-11-14,0.35831,0.37135,0.34495,0.35787
2023-11-15,0.35788,0.37929,0.35451,0.37929
2023-11-16,0.37928,0.40852,0.3621,0.37177
2023-11-17,0.37179,0.37816,0.35511,0.36661
2023-11-18,0.3668,0.37773,0.35102,0.37769
2023-11-19,0.37769,0.38537,0.37026,0.38453
2023-11-20,0.38453,0.39928,0.37911,0.38068
2023-11-21,0.38071,0.38933,0.3573,0.35863
2023-11-22,0.35847,0.38706,0.35743,0.38066
2023-11-23,0.38068,0.38714,0.37804,0.38668
2023-11-24,0.38669,0.39734,0.385,0.38621
2023-11-25,0.38622,0.3957,0.3857,0.39481
2023-11-26,0.39479,0.39557,0.38116,0.38818
2023-11-27,0.38811,0.39179,0.37203,0.37836
2023-11-28,0.37834,0.38811,0.37049,0.38562
2023-11-29,0.38563,0.3888,0.37855,0.38178
2023-11-30,0.3818,0.38258,0.3727,0.37589
2023-12-01,0.37589,0.38525,0.37448,0.3842
2023-12-02,0.3842,0.39784,0.38342,0.3978
2023-12-03,0.39782,0.40232,0.38856,0.39516
2023-12-04,0.39519,0.41455,0.39486,0.40681
2023-12-05,0.40682,0.42566,0.39798,0.42566
2023-12-06,0.42561,0.4541,0.41864,0.44241
2023-12-07,0.44246,0.45905,0.43446,0.45643
2023-12-08,0.45643,0.5666,0.45356,0.54592
2023-12-09,0.54586,0.64302,0.54586,0.5786
